id,type,sell_or_rent,size,price,city,part_of_city,land_size,floor,total_floors,num_of_rooms,num_of_bathrooms,is_registered,parking,elevator,balcony,heating_type,year_built,construction_type,url
5921,0,1,600,460000.0,Beograd,Voždovac,,,,5,,1,,0,1,"Klima, Etažno",2007,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/vozdovac-farmaceutski-fakultet-ivanke-muacevic-50-600m2-460000eur/Nk8ZfCkpSp0/
5940,0,0,600,6000.0,Beograd,Dedinje (RTV Pink),,,,11,5,0,,0,1,"Klima, Etažno",,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/lux-vila-na-dedinju-id1542/NkY9KvW409h/
5747,0,0,600,6000.0,Beograd,Zvezdin stadion,,0,,9,,0,,0,1,Ostalo,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-6000e/NkQ6snILIM8/
5746,0,0,600,6000.0,Beograd,Topcider,,0,,9,,0,,0,1,Ostalo,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-90/Nk0IBQ06XXu/
5990,0,1,600,2750000.0,Beograd,Senjak,,,,7,3,1,,,,Etažno,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/senjak-sanje-zivanovic-600m210-ari-id2830/NkFvM6RxwUy/
472,0,1,600,190000.0,Užice,Bele zemlje,800,,1,7,4,1,,0,1,Centralno,2005,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/prodajem-porodicnu-kucu-sa-poslovnim-prostorom/NkKTub_Higw/
6107,0,1,600,200000.0,Beograd,Leštane,,,,5,,1,,0,1,Centralno,1974,Izvorno stanje,https://www.nekretnine.rs/stambeni-objekti/kuce/grocka-lestane-50-600m2-200000eur/NkO8MyzOX6F/
5745,0,0,600,6000.0,Beograd,Centar (uži),,0,,9,,0,,0,1,Ostalo,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-600m2/NkuMApGkl37/
6170,0,1,600,470000.0,Beograd,Miljakovac III,,0,,,,1,,0,1,Ostalo,2010,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/prodajemo-kucu-na-miljakovcu-iii/NkFKBSwfAXd/
5463,0,1,600,2490000.0,Beograd,Dedinje (RTV Pink),,0,,10,4,1,,0,1,"Klima, Etažno",2004,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/diplomatska-kolonija-kuca-460240m2-id1410/NkiT7TALmkg/
5502,0,1,600,690000.0,Bosna i Hercegovina,,,,,1,,0,,,,,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/ravno-ivanica-10-600m2-690000eur/NkFtl3-JmGG/
6923,0,0,600,5000.0,Beograd,Senjak,1000,,3,6,,0,,0,1,"Centralno, Klima",,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-na-senjaku/Nk63_U9WsCB/
6854,0,0,600,6990.0,Beograd,Dedinje (RTV Pink),,-1,,9,6,0,,0,1,"Klima, Centralno",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/35919-izdavanje-kuca-dedinje-6990-eur/Nk8KXjKkLka/
6838,0,1,600,480000.0,Velika Plana,,2600,,1,7,3,1,,0,1,Podno,,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/vila-sa-bazenom/NkP1nhf9oiW/
6613,0,0,600,4500.0,Beograd,Dedinje (RTV Pink),,,2,7,2,0,,0,1,"Centralno, Klima",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-kuca-600m2-70-namestenaprazna-id-8269-1/Nkwt-dATEcT/
6634,0,0,600,7000.0,Beograd,Senjak,,,1,15,,0,,,,"Centralno, Klima",,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-na-senjaku-lux-600m2-id-8160/NkWIzZVe_UP/
6966,0,1,590,920000.0,Herceg Novi,,,,,5,,0,,,,,,Standardna gradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/vila-u-centru-herceg-novog/NkWTUPlBmeP/
6698,0,1,590,268000.0,Novi Sad,Telep,,,,5,,1,,,,Ostalo,1900,Novogradnja,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-novi-sad-telep-kv-59000-eur-268000-id-3040377/NkN6G0epGlB/
